TimePeriod,Indicator,Subgroup,DataValue
2011,4.6.1: Literacy rate of youth in the age group of 15-24 years,Total,86.14
2011,5.2.7: Child Sex Ratio (0-6 years),Rural,923.0
2011,5.2.7: Child Sex Ratio (0-6 years),Total,918.0
2011,5.2.7: Child Sex Ratio (0-6 years),Urban,905.0
2011,6.4.1: Percentage ground water withdrawal against availability,Total,61.5
2011,"6.6.1: Percentage of blocks/mandals/taluka over-exploited, (in percentage)",Total,16.2
2011,"8.8.2: Percentage of migrant workers, (in percentage)",Total ,42.6
2011-12,1.1.1: Poverty Gap Ratio,Rural,5.05
2011-12,1.1.1: Poverty Gap Ratio,Urban,2.7
2011-12,1.2.1: Proportion of population living below the national poverty line,Total,21.9
2011-12,10.1.1: Growth rates of household expenditure per capita among the bottom 40 per cent of the population and the total population,Rural,13.61
2011-12,10.1.1: Growth rates of household expenditure per capita among the bottom 40 per cent of the population and the total population,Urban,13.35
2011-12,10.1.2: Gini Coefficient of Household Expenditure,Rural,0.283
2011-12,10.1.2: Gini Coefficient of Household Expenditure,Urban,0.363
2011-12,10.2.1: Percentage of people living below 50 per cent of median per capita household expenditure,Rural,4.28
2011-12,10.2.1: Percentage of people living below 50 per cent of median per capita household expenditure,Urban,10.89
2013,6.4.1: Percentage ground water withdrawal against availability,Total,61.53
2013,"6.6.1: Percentage of blocks/mandals/taluka over-exploited, (in percentage)",Total,15.7
2013-15,14.2.1: Percentage change in area under mangroves (similar to Indicator 14.5.2),Total,2.43
2013-15,14.5.2: Percentage change in area under mangroves (similar to Indicator 14.2.1),Total,2.43
2013-15,15.2.1: Percentage change in Forest cover,Total,0.54
2013-15,15.4.1: Percentage change in forest cover in hill districts,Total,0.6
2014,"10.2.2: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 5.5.1 and 16.7.1)",Lok Sabha,11.42
2014,"10.2.2: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 5.5.1 and 16.7.1)",PRI,46.14
2014,"10.2.2: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 5.5.1 and 16.7.1)",Rajya Sabha,12.76
2014,10.2.3: Proportion of SC/ST persons in Elected bodies (similar to 16.7.2),SCs,15.5
2014,10.2.3: Proportion of SC/ST persons in Elected bodies (similar to 16.7.2),STs,8.7
2014,"16.7.1: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 5.5.1 and 10.2.2)",Lok Sabha,11.42
2014,"16.7.1: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 5.5.1 and 10.2.2)",PRI,46.14
2014,"16.7.1: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 5.5.1 and 10.2.2)",Rajya Sabha,12.76
2014,"16.7.2:  Proportion of SC/ST persons in the elected bodies (Lok Sabha) (similar to 
10.2.3)",SCs,15.5
2014,"16.7.2:  Proportion of SC/ST persons in the elected bodies (Lok Sabha) (similar to 
10.2.3)",STs,8.7
2014,"5.5.1: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 10.2.2 and 16.7.1)",Lok Sabha,11.42
2014,"5.5.1: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 10.2.2 and 16.7.1)",PRI,46.14
2014,"5.5.1: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 10.2.2 and 16.7.1)",Rajya Sabha,12.76
2014,5.5.3: Number of women candidates out of total candidates contesting elections(in percentage),Total,8.19
2014-16,"3.1.1: Maternal Mortality Ratio (MMR), (per 1,00,000 live births)",Total,130.0
2014-16,5.1.3: Sex Ratio at Birth,Total,898.0
2015,"1.5.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population (similar to 11.5.1 and 13.1.1)",Total,14743.14
2015,"1.5.3: Whether the country has adopted and implemented national disaster risk reduction strategies in line with the Sen-dai Framework for Disaster Risk Reduction 2015-2030, (similar to Indicator 11.b.1 and 13.1.2",Total,0.25
2015,1.5.4: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with na-tional disaster risk reduction strategies (similar to 11.b.2 and 13.1.3),Total,0.901
2015,10.7.1: Recruitment cost borne by employee as a proportion of monthly income earned in country of destination,Total,1.43
2015,11.2.2: People killed/injured in road accidents (similar to 3.6.1 ),Death Rate,11.81
2015,11.2.2: People killed/injured in road accidents (similar to 3.6.1 ),Injury Rate,38.31
2015,11.3.1: Proportion of Cities with Master Plan (similar to 11.a.1),Total,25.61
2015,"11.5.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population (similar to 1.5.1 and 13.1.1)",Total,14743.14
2015,11.a.1: Proportion of Cities with Master Plan (similar to 11.3.1),Total,25.61
2015,"11.b.1: Whether the country has adopted and implemented national disaster risk reduction strategies in line with the Sen-dai Framework for Disaster Risk Reduction 2015-2030, (similar to Indicator 1.5.3  and 13.1.2)",Total,0.25
2015,11.b.2: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (similar to  1.5.4 and 13.1.3),Total,0.901
2015,12.3.1: Per capita food availability,Food Grains,169.8
2015,12.a.1: Installed renewable energy generating capacity in the country (similar to 7.b.1 ),Total,63.68
2015,"13.1.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population (similar to 11.5.1 and 1.5.1 )",Total,14743.14
2015,"13.1.2: Whether the country has adopted and implemented national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030, (similar to Indicator 1.5.3  and 11.b.1)",Total,0.25
2015,13.1.3: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (similar to 11.b.2 and 1.5.4),Total,0.901
2015,15.1.1: Forest cover as a percentage of total geographical area,Total,21.35
2015,15.1.2: Protected area as percentage of total geographical area,Total,5.07
2015,15.2.3: Tree cover as percentage of total geographical area,Total,2.82
2015,"15.7.1: Number of cases registered under the Wildlife Protection Act, 1972 (similar to 15.c.1)",Total,698.0
2015,"15.c.1: Number of cases registered under the Wildlife Protection Act, 1972 (similar to 15.7.1)",Total,698.0
